superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	Field CA2, stratum radiatum	<http://purl.obolibrary.org/obo/DMBA_16140>	OK			
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	field CA2, stratum radiatum	<http://purl.obolibrary.org/obo/MBA_454>	OK			
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	stratum radiatum of CA2	<http://purl.obolibrary.org/obo/PBA_10066>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 region of Hipp	<http://purl.obolibrary.org/obo/DHBA_10299>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	Field CA3	<http://purl.obolibrary.org/obo/DMBA_16141>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 field	<http://purl.obolibrary.org/obo/HBA_12894>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	field CA3	<http://purl.obolibrary.org/obo/MBA_463>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 region	<http://purl.obolibrary.org/obo/PBA_10068>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	Field CA3, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/DMBA_16146>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	field CA3, stratum lacunosum-moleculare	<http://purl.obolibrary.org/obo/MBA_471>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	stratum lacunosum-moleculare of CA3	<http://purl.obolibrary.org/obo/PBA_10073>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	Field CA3, stratum lucidum	<http://purl.obolibrary.org/obo/DMBA_16144>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	field CA3, stratum lucidum	<http://purl.obolibrary.org/obo/MBA_479>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	hippocampal stratum lucidum of CA3	<http://purl.obolibrary.org/obo/PBA_10071>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	Field CA3, stratum oriens	<http://purl.obolibrary.org/obo/DMBA_16142>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	field CA3, stratum oriens	<http://purl.obolibrary.org/obo/MBA_486>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	stratum oriens of CA3	<http://purl.obolibrary.org/obo/PBA_10069>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	Field CA3, stratum radiatum	<http://purl.obolibrary.org/obo/DMBA_16145>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	field CA3, stratum radiatum	<http://purl.obolibrary.org/obo/MBA_504>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	stratum radiatum of CA3	<http://purl.obolibrary.org/obo/PBA_10072>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 region of Hipp	<http://purl.obolibrary.org/obo/DHBA_10300>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 field	<http://purl.obolibrary.org/obo/HBA_12895>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 region	<http://purl.obolibrary.org/obo/PBA_10074>	OK			
Meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/UBERON_0035935>	Meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/HBA_265505214>	OK			
Purkinje cell layer of cerebellar cortex	<http://purl.obolibrary.org/obo/UBERON_0002979>	cerebellar cortex, Purkinje layer	<http://purl.obolibrary.org/obo/MBA_1145>	OK			
abducens nerve	<http://purl.obolibrary.org/obo/UBERON_0001646>	abducens nerve	<http://purl.obolibrary.org/obo/HBA_9325>	OK			
abducens nerve	<http://purl.obolibrary.org/obo/UBERON_0001646>	abducens nerve	<http://purl.obolibrary.org/obo/MBA_710>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<http://purl.obolibrary.org/obo/DHBA_12418>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens motor nucleus	<http://purl.obolibrary.org/obo/DMBA_17279>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<http://purl.obolibrary.org/obo/HBA_9136>	OK			
abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0002682>	abducens nucleus	<http://purl.obolibrary.org/obo/MBA_653>	OK			
accessory XI nerve	<http://purl.obolibrary.org/obo/UBERON_0002019>	accessory nerve	<http://purl.obolibrary.org/obo/HBA_9340>	OK			
accessory XI nerve	<http://purl.obolibrary.org/obo/UBERON_0002019>	accessory spinal nerve	<http://purl.obolibrary.org/obo/MBA_717>	OK			
accessory abducens nucleus	<http://purl.obolibrary.org/obo/UBERON_0035976>	accessory abducens nucleus	<http://purl.obolibrary.org/obo/MBA_568>	OK			
accessory basal amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0002885>	basomedial nucleus (accessory basal nucleus)	<http://purl.obolibrary.org/obo/DHBA_10369>	OK			
accessory basal amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0002885>	basomedial nucleus	<http://purl.obolibrary.org/obo/HBA_4350>	OK			
accessory cuneate nucleus	<http://purl.obolibrary.org/obo/UBERON_0002864>	accessory cuneate nucleus	<http://purl.obolibrary.org/obo/HBA_9513>	OK			
accessory cuneate nucleus	<http://purl.obolibrary.org/obo/UBERON_0002864>	external cuneate nucleus	<http://purl.obolibrary.org/obo/MBA_903>	OK			
accessory nerve root	<http://purl.obolibrary.org/obo/UBERON_0014615>	root of accessory nerve	<http://purl.obolibrary.org/obo/DHBA_12883>	Verify	accessory XI nerve is whole nerve, accessory nerve root (root of accessory nerve) http://purl.obolibrary.org/obo/UBERON_0014615 is probably fine. 		
accessory nerve root	<http://purl.obolibrary.org/obo/UBERON_0014615>	accessory nerve root	http://purl.obolibrary.org/obo/DMBA_17749	Verify	accessory XI nerve is whole nerve, accessory nerve root (root of accessory nerve) http://purl.obolibrary.org/obo/UBERON_0014615 is probably fine. 		Verified
accessory olfactory bulb	<http://purl.obolibrary.org/obo/UBERON_0004069>	accessory olfactory bulb	<http://purl.obolibrary.org/obo/DMBA_15957>	OK			
accessory olfactory bulb	<http://purl.obolibrary.org/obo/UBERON_0004069>	accessory olfactory bulb	<http://purl.obolibrary.org/obo/MBA_151>	OK			
accessory olfactory bulb external plexiform layer	<http://purl.obolibrary.org/obo/UBERON_0019289>	AOB, outer plexiform layer	<http://purl.obolibrary.org/obo/DMBA_15965>	OK			
accessory olfactory bulb glomerular layer	<http://purl.obolibrary.org/obo/UBERON_0007631>	AOB, glomerular layer	<http://purl.obolibrary.org/obo/DMBA_15967>	OK			
accessory olfactory bulb glomerular layer	<http://purl.obolibrary.org/obo/UBERON_0007631>	accessory olfactory bulb, glomerular layer	<http://purl.obolibrary.org/obo/MBA_188>	OK			
accessory olfactory bulb granule cell layer	<http://purl.obolibrary.org/obo/UBERON_0015244>	AOB, granular layer	<http://purl.obolibrary.org/obo/DMBA_15961>	OK			
accessory olfactory bulb granule cell layer	<http://purl.obolibrary.org/obo/UBERON_0015244>	accessory olfactory bulb, granular layer	<http://purl.obolibrary.org/obo/MBA_196>	OK			
accessory olfactory bulb internal plexiform layer	<http://purl.obolibrary.org/obo/UBERON_0019290>	AOB, internal plexiform layer	<http://purl.obolibrary.org/obo/DMBA_15962>	OK			
accessory olfactory bulb mitral cell layer	<http://purl.obolibrary.org/obo/UBERON_0015432>	accessory olfactory bulb, mitral layer	<http://purl.obolibrary.org/obo/MBA_204>	OK			
accessory optic tract	<http://purl.obolibrary.org/obo/UBERON_0035595>	accessory optic tract	<http://purl.obolibrary.org/obo/MBA_876>	OK			
agranular insular cortex	<http://purl.obolibrary.org/obo/UBERON_0034893>	dysgranular insular cortex	<http://purl.obolibrary.org/obo/DHBA_10289>	nok	synonym is 'dysgranular insular cortex' (http://purl.obolibrary.org/obo/UBERON_0034893)	Add Term	
agranular insular cortex	<http://purl.obolibrary.org/obo/UBERON_0034893>	agranular insular cortex (area Iag)	<http://purl.obolibrary.org/obo/DHBA_10328>	OK			
allocortex	<http://purl.obolibrary.org/obo/UBERON_0014734>	allocortex	<http://purl.obolibrary.org/obo/DHBA_10292>	OK			
ambient gyrus	<http://purl.obolibrary.org/obo/UBERON_0036164>	ambiens gyrus	<http://purl.obolibrary.org/obo/DHBA_12166>	OK			
amiculum of inferior olive	<http://purl.obolibrary.org/obo/UBERON_0035938>	amiculum of the olive	<http://purl.obolibrary.org/obo/DHBA_12728>	OK			
amiculum of inferior olive	<http://purl.obolibrary.org/obo/UBERON_0035938>	amiculum of the olive	<http://purl.obolibrary.org/obo/HBA_265505538>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdaloid complex	<http://purl.obolibrary.org/obo/DHBA_10361>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdala	<http://purl.obolibrary.org/obo/HBA_4327>	OK			
amygdala	<http://purl.obolibrary.org/obo/UBERON_0001876>	amygdaloid complex	<http://purl.obolibrary.org/obo/PBA_4002>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<http://purl.obolibrary.org/obo/DHBA_10377>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<http://purl.obolibrary.org/obo/DMBA_15945>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area, left	<http://purl.obolibrary.org/obo/HBA_4330>	OK			
amygdalohippocampal area	<http://purl.obolibrary.org/obo/UBERON_0034673>	amygdalohippocampal area	<http://purl.obolibrary.org/obo/PBA_10135>	OK			
amygdalohippocampal area, magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0035027>	amygdalohippocampal area, left, magnocellular division	<http://purl.obolibrary.org/obo/HBA_265504452>	OK			
amygdalohippocampal area, magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0035027>	amygdalohippocampal area, magnocellualr part	<http://purl.obolibrary.org/obo/PBA_10136>	OK			
amygdalohippocampal area, parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0035028>	amygdalohippocampal area, left, parvocellular division	<http://purl.obolibrary.org/obo/HBA_265504456>	OK			
amygdalohippocampal area, parvocellular division	<http://purl.obolibrary.org/obo/UBERON_0035028>	amygdalohippocampal area, parvocelluar part	<http://purl.obolibrary.org/obo/PBA_10137>	OK			
amygdalohippocampal transition area	<http://purl.obolibrary.org/obo/UBERON_0035026>	amygdalohippocampal transition area	<http://purl.obolibrary.org/obo/DHBA_10380>	OK			
amygdalopiriform transition area	<http://purl.obolibrary.org/obo/UBERON_0034989>	amygdalopiriform transition area	<http://purl.obolibrary.org/obo/PBA_10140>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	ABA entity	<http://purl.obolibrary.org/obo/ABA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	DHBA entity	<http://purl.obolibrary.org/obo/DHBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	DMBA entity	<http://purl.obolibrary.org/obo/DMBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	HBA entity	<http://purl.obolibrary.org/obo/HBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	MBA entity	<http://purl.obolibrary.org/obo/MBA_ENTITY>	OK			
anatomical entity	<http://purl.obolibrary.org/obo/UBERON_0001062>	PBA entity	<http://purl.obolibrary.org/obo/PBA_ENTITY>	OK			
angular gyrus	<http://purl.obolibrary.org/obo/UBERON_0002686>	angular gyrus	<http://purl.obolibrary.org/obo/DHBA_12136>	OK			
angular gyrus	<http://purl.obolibrary.org/obo/UBERON_0002686>	angular gyrus	<http://purl.obolibrary.org/obo/HBA_4111>	OK			
angular sulcus	<http://purl.obolibrary.org/obo/UBERON_0026725>	angular sulcus	<http://purl.obolibrary.org/obo/HBA_9384>	OK			
ansa lenticularis	<http://purl.obolibrary.org/obo/UBERON_0009641>	ansa lenticularis	<http://purl.obolibrary.org/obo/DHBA_10571>	OK			
ansa lenticularis	<http://purl.obolibrary.org/obo/UBERON_0009641>	ansa lenticularis	<http://purl.obolibrary.org/obo/HBA_9237>	OK			
ansa peduncularis	<http://purl.obolibrary.org/obo/UBERON_0034896>	ansa peduncularis	<http://purl.obolibrary.org/obo/DHBA_266441591>	OK			
ansa peduncularis	<http://purl.obolibrary.org/obo/UBERON_0034896>	ansa peduncularis	<http://purl.obolibrary.org/obo/MBA_892>	OK			
ansiform lobule	<http://purl.obolibrary.org/obo/UBERON_0005348>	ansiform lobule	<http://purl.obolibrary.org/obo/MBA_1017>	OK			
ansiform lobule crus I	<http://purl.obolibrary.org/obo/UBERON_0005976>	crus I	<http://purl.obolibrary.org/obo/HBA_12938>	OK			
ansiform lobule crus I	<http://purl.obolibrary.org/obo/UBERON_0005976>	crus 1	<http://purl.obolibrary.org/obo/MBA_1056>	OK			
ansiform lobule crus II	<http://purl.obolibrary.org/obo/UBERON_0005977>	crus II	<http://purl.obolibrary.org/obo/HBA_12939>	OK			
ansiform lobule crus II	<http://purl.obolibrary.org/obo/UBERON_0005977>	crus 2	<http://purl.obolibrary.org/obo/MBA_1064>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<http://purl.obolibrary.org/obo/DHBA_266441733>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<http://purl.obolibrary.org/obo/HBA_9413>	OK			
ansoparamedian fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0014468>	ansoparamedian fissure	<http://purl.obolibrary.org/obo/MBA_43>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<http://purl.obolibrary.org/obo/DHBA_10362>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	basolateral amygdaloid nucleus, anterior part	http://purl.obolibrary.org/obo/DMBA_15994	Verify	basal amygdaloid nucleus (http://purl.obolibrary.org/obo/UBERON_0002887)		Fixed
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<http://purl.obolibrary.org/obo/HBA_265504476>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdalar area	<http://purl.obolibrary.org/obo/MBA_23>	OK			
anterior amygdaloid area	<http://purl.obolibrary.org/obo/UBERON_0002890>	anterior amygdaloid area	<http://purl.obolibrary.org/obo/PBA_10103>	OK			
anterior column of fornix	<http://purl.obolibrary.org/obo/UBERON_0002940>	anterior column of the fornix, left	<http://purl.obolibrary.org/obo/HBA_9251>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<http://purl.obolibrary.org/obo/DHBA_10559>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<http://purl.obolibrary.org/obo/DMBA_17751>	OK			
anterior commissure	<http://purl.obolibrary.org/obo/UBERON_0000935>	anterior commissure	<http://purl.obolibrary.org/obo/HBA_9221>	OK			
anterior commissure anterior part	<http://purl.obolibrary.org/obo/UBERON_0003039>	anterior commissure, olfactory limb	<http://purl.obolibrary.org/obo/MBA_900>	OK			
anterior corona radiata	<http://purl.obolibrary.org/obo/UBERON_0022425>	anterior portion of corona radiata	<http://purl.obolibrary.org/obo/DHBA_15541>	OK			
anterior cortical amygdaloid nucleus	<http://purl.obolibrary.org/obo/UBERON_0034991>	anterior cortical amygdaloid area	<http://purl.obolibrary.org/obo/DMBA_16000>	OK			
anterior division of bed nuclei of stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0011173>	bed nuclei of the stria terminalis, anterior division	<http://purl.obolibrary.org/obo/MBA_359>	OK			
anterior horn of lateral ventricle	<http://purl.obolibrary.org/obo/UBERON_0002651>	anterior horn of lateral ventricle	<http://purl.obolibrary.org/obo/DHBA_10597>	OK			
anterior hypothalamic commissure	<http://purl.obolibrary.org/obo/UBERON_0002694>	anterior hypothalamic area, left, central part	<http://purl.obolibrary.org/obo/HBA_4600>	Verify	anterior hypothalamic region (http://purl.obolibrary.org/obo/UBERON_0002550)		
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic area	<http://purl.obolibrary.org/obo/DHBA_266441551>	OK			
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic area	<http://purl.obolibrary.org/obo/HBA_12902>	OK			
anterior hypothalamic region	<http://purl.obolibrary.org/obo/UBERON_0002550>	anterior hypothalamic region	<http://purl.obolibrary.org/obo/HBA_4570>	OK			
anterior limb of internal capsule	<http://purl.obolibrary.org/obo/UBERON_0014526>	anterior limb of internal capsule	<http://purl.obolibrary.org/obo/DHBA_10582>	OK			
anterior lobe of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0002131>	anterior lobe	<http://purl.obolibrary.org/obo/DHBA_12838>	OK			
anterior median oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002701>	anterior median oculomotor nucleus	<http://purl.obolibrary.org/obo/DHBA_12199>	OK			
anterior median oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002701>	anterior median oculomotor nucleus, left	<http://purl.obolibrary.org/obo/HBA_9032>	OK			
anterior nuclear group	<http://purl.obolibrary.org/obo/UBERON_0002788>	anterior nuclear complex of thalamus	<http://purl.obolibrary.org/obo/DHBA_10392>	OK			
anterior nuclear group	<http://purl.obolibrary.org/obo/UBERON_0002788>	anterior group of the dorsal thalamus	<http://purl.obolibrary.org/obo/MBA_239>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<http://purl.obolibrary.org/obo/DHBA_10475>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<http://purl.obolibrary.org/obo/DMBA_15662>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<http://purl.obolibrary.org/obo/HBA_12903>	OK			
anterior nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0002634>	anterior hypothalamic nucleus	<http://purl.obolibrary.org/obo/MBA_88>	OK			
anterior nucleus of hypothalamus anterior part	<http://purl.obolibrary.org/obo/UBERON_0014589>	anterior hypothalamic nucleus, anterior part	<http://purl.obolibrary.org/obo/MBA_700>	OK			
anterior nucleus of hypothalamus central part	<http://purl.obolibrary.org/obo/UBERON_0014590>	anterior hypothalamic nucleus, central part	<http://purl.obolibrary.org/obo/MBA_708>	OK			
anterior nucleus of hypothalamus dorsal part	<http://purl.obolibrary.org/obo/UBERON_0014592>	anterior hypothalamic nucleus, dorsal part	<http://purl.obolibrary.org/obo/MBA_716>	OK			
anterior nucleus of hypothalamus posterior part	<http://purl.obolibrary.org/obo/UBERON_0014591>	posterior part of anterior hypothalamic nucleus	<http://purl.obolibrary.org/obo/DMBA_16240>	OK			
anterior nucleus of hypothalamus posterior part	<http://purl.obolibrary.org/obo/UBERON_0014591>	anterior hypothalamic nucleus, posterior part	<http://purl.obolibrary.org/obo/MBA_724>	OK			
anterior occipital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002906>	anterior occipital sulcus	<http://purl.obolibrary.org/obo/DHBA_146034784>	OK			
anterior occipital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002906>	anterior occipital sulcus	<http://purl.obolibrary.org/obo/HBA_9385>	OK			
anterior olfactory nucleus	<http://purl.obolibrary.org/obo/UBERON_0002266>	anterior olfactory nucleus	<http://purl.obolibrary.org/obo/DHBA_10308>	OK			
anterior olfactory nucleus	<http://purl.obolibrary.org/obo/UBERON_0002266>	anterior olfactory nucleus	<http://purl.obolibrary.org/obo/HBA_4324>	OK			
anterior olfactory nucleus	<http://purl.obolibrary.org/obo/UBERON_0002266>	anterior olfactory nucleus	<http://purl.obolibrary.org/obo/MBA_159>	OK			
anterior orbital gyrus	<http://purl.obolibrary.org/obo/UBERON_0022244>	anterior orbital gyrus	<http://purl.obolibrary.org/obo/HBA_4053>	OK			
anterior parahippocampal gyrus	<http://purl.obolibrary.org/obo/UBERON_0022383>	anterior parahippocampal gyrus	<http://purl.obolibrary.org/obo/DHBA_12163>	OK			
