ID	xref	prefLabel
http://purl.obolibrary.org/obo/DHBA_146034758	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034758	entopeduncular nucleus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034758	http://atlas.brain-map.org/atlas?atlas=3#structure=146034758	entopeduncular nucleus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034758	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034758	entopeduncular nucleus  ( human dev )
http://purl.obolibrary.org/obo/UBERON_0022258		endolemniscal nucleus
http://purl.obolibrary.org/obo/DHBA_146034766	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034766	parvocellular division of VPM  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034766	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034766	parvocellular division of VPM  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034766	http://atlas.brain-map.org/atlas?atlas=3#structure=146034766	parvocellular division of VPM  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034766	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034766	parvocellular division of VPM  ( human dev )
http://purl.obolibrary.org/obo/UBERON_0022259		white matter radiation
http://purl.obolibrary.org/obo/DHBA_146034762	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034762	temporal claustrum  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034762	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034762	temporal claustrum  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034762	http://atlas.brain-map.org/atlas?atlas=3#structure=146034762	temporal claustrum  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034762	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034762	temporal claustrum  ( human dev )
http://purl.obolibrary.org/obo/UBERON_0035570		tectothalamic tract
http://purl.obolibrary.org/obo/UBERON_0010252		1st arch mandibular mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0010253		1st arch maxillary mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0011582		paired limb/fin skeleton
http://purl.obolibrary.org/obo/UBERON_0010256		4th arch mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0010257		6th arch mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0010254		2nd arch mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0010255		3rd arch mesenchyme from neural crest
http://purl.obolibrary.org/obo/UBERON_0011585		cell condensation
http://purl.obolibrary.org/obo/UBERON_0022260		radiation of cerebral hemisphere
http://purl.obolibrary.org/obo/UBERON_0022262		auditory radiation
http://purl.obolibrary.org/obo/UBERON_0022264		optic radiation
http://purl.obolibrary.org/obo/UBERON_0022268		planum temporale
http://purl.obolibrary.org/obo/DHBA_146034776	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034776	collateral sulcus, caudal segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034776	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034776	collateral sulcus, caudal segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034776	http://atlas.brain-map.org/atlas?atlas=3#structure=146034776	collateral sulcus, caudal segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034776	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034776	collateral sulcus, caudal segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034772	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034772	collateral sulcus, rostral segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034772	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034772	collateral sulcus, rostral segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034772	http://atlas.brain-map.org/atlas?atlas=3#structure=146034772	collateral sulcus, rostral segment  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034772	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034772	collateral sulcus, rostral segment  ( human dev )
http://purl.obolibrary.org/obo/HBA_265504424	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504424	indusium griseum  ( human )
http://purl.obolibrary.org/obo/HBA_265504428	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504428	indusium griseum, left  ( human )
http://purl.obolibrary.org/obo/UBERON_0022272		corticobulbar tract
http://purl.obolibrary.org/obo/UBERON_0022271		corticopontine fibers
http://purl.obolibrary.org/obo/DHBA_146034788	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034788	anterior subcentral sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034788	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034788	anterior subcentral sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034788	http://atlas.brain-map.org/atlas?atlas=3#structure=146034788	anterior subcentral sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034788	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034788	anterior subcentral sulcus  ( human dev )
http://purl.obolibrary.org/obo/HBA_265504410	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504410	olfactory area, left  ( human )
http://purl.obolibrary.org/obo/DHBA_146034784	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034784	anterior occipital sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034784	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034784	anterior occipital sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034784	http://atlas.brain-map.org/atlas?atlas=3#structure=146034784	anterior occipital sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034784	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034784	anterior occipital sulcus  ( human dev )
http://purl.obolibrary.org/obo/HBA_265504414	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504414	olfactory area, right  ( human )
http://purl.obolibrary.org/obo/DHBA_146034780	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034780	parietooccipital fissure, lateral extension  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034780	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034780	parietooccipital fissure, lateral extension  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034780	http://atlas.brain-map.org/atlas?atlas=3#structure=146034780	parietooccipital fissure, lateral extension  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034780	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034780	parietooccipital fissure, lateral extension  ( human dev )
http://purl.obolibrary.org/obo/UBERON_0010230		eyeball of camera-type eye
http://purl.obolibrary.org/obo/UBERON_0035595		accessory optic tract
http://purl.obolibrary.org/obo/UBERON_0035594		accessory optic system
http://purl.obolibrary.org/obo/UBERON_0035596		circular nucleus of antherior hypothalamic nucleus
http://purl.obolibrary.org/obo/UBERON_0011566		lumen of esophagus
http://purl.obolibrary.org/obo/UBERON_0011565		lumen of gastrointestinal system
http://purl.obolibrary.org/obo/UBERON_0010227		future cardiac atrium
http://purl.obolibrary.org/obo/UBERON_0010225		thalamic complex
http://purl.obolibrary.org/obo/UBERON_0022283		pineal recess of third ventricle
http://purl.obolibrary.org/obo/UBERON_0022288		surface of eyeball
http://purl.obolibrary.org/obo/HBA_265504440	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504440	subiculum proper, left  ( human )
http://purl.obolibrary.org/obo/HBA_265504444	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504444	prosubiculum, right  ( human )
http://purl.obolibrary.org/obo/DHBA_146034796	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034796	intermediate frontal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034796	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034796	intermediate frontal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034796	http://atlas.brain-map.org/atlas?atlas=3#structure=146034796	intermediate frontal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034796	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034796	intermediate frontal sulcus  ( human dev )
http://purl.obolibrary.org/obo/HBA_265504448	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504448	subiculum proper, right  ( human )
http://purl.obolibrary.org/obo/DHBA_146034792	http://atlas.brain-map.org/atlas?atlas=138322605#structure=146034792	frontomarginal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034792	http://atlas.brain-map.org/atlas?atlas=265297126#structure=146034792	frontomarginal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034792	http://atlas.brain-map.org/atlas?atlas=3#structure=146034792	frontomarginal sulcus  ( human dev )
http://purl.obolibrary.org/obo/DHBA_146034792	http://atlas.brain-map.org/atlas?atlas=138322603#structure=146034792	frontomarginal sulcus  ( human dev )
http://purl.obolibrary.org/obo/CHEBI_15841		polypeptide
http://purl.obolibrary.org/obo/PBA_128011960		layer II of MEC
http://purl.obolibrary.org/obo/HBA_265504432	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504432	indusium griseum, right  ( human )
http://purl.obolibrary.org/obo/HBA_265504436	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504436	prosubiculum, left  ( human )
http://purl.obolibrary.org/obo/UBERON_0010291		layer of sclera
http://purl.obolibrary.org/obo/UBERON_0010294		scleral endothelium
http://purl.obolibrary.org/obo/UBERON_0010295		substantia propria of sclera
http://purl.obolibrary.org/obo/UBERON_0010299		scleral mesenchyme
http://purl.obolibrary.org/obo/UBERON_0022229		posterior amygdaloid nucleus
http://purl.obolibrary.org/obo/HBA_265504464	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504464	amygdalohippocampal area, right, magnocellular division  ( human )
http://purl.obolibrary.org/obo/UBERON_0009292		embryonic nasal process
http://purl.obolibrary.org/obo/HBA_265504468	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504468	amygdalohippocampal area, right, parvocellular division  ( human )
http://purl.obolibrary.org/obo/UBERON_0010285		midbrain basal plate
http://purl.obolibrary.org/obo/UBERON_0010286		midbrain neural tube
http://purl.obolibrary.org/obo/UBERON_0010287		motor root of facial nerve
http://purl.obolibrary.org/obo/UBERON_0035546		uveal vein
http://purl.obolibrary.org/obo/UBERON_0035539		esophageal artery
http://purl.obolibrary.org/obo/UBERON_0022230		retrohippocampal region
http://purl.obolibrary.org/obo/UBERON_0022234		medial longitudinal stria
http://purl.obolibrary.org/obo/UBERON_0022236		peduncle of thalamus
http://purl.obolibrary.org/obo/HBA_265504472	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504472	amygdalohippocampal area, right, marginal layer  ( human )
http://purl.obolibrary.org/obo/UBERON_0022235		peduncle of diencephalon
http://purl.obolibrary.org/obo/HBA_265504452	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504452	amygdalohippocampal area, left, magnocellular division  ( human )
http://purl.obolibrary.org/obo/UBERON_0022237		anterior thalamic peduncle
http://purl.obolibrary.org/obo/HBA_265504456	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504456	amygdalohippocampal area, left, parvocellular division  ( human )
http://purl.obolibrary.org/obo/UBERON_0035551		deep vasculature
http://purl.obolibrary.org/obo/UBERON_0035550		superficial vein
http://purl.obolibrary.org/obo/UBERON_0035553		left cardiac chamber
http://purl.obolibrary.org/obo/UBERON_0010272		hyoid apparatus
http://purl.obolibrary.org/obo/UBERON_0010273		zone of hyoid bone
http://purl.obolibrary.org/obo/UBERON_0035552		deep vein
http://purl.obolibrary.org/obo/UBERON_0035554		right cardiac chamber
http://purl.obolibrary.org/obo/UBERON_0010276		space in vertebral column
http://purl.obolibrary.org/obo/UBERON_0035548		colic artery
http://purl.obolibrary.org/obo/UBERON_0035549		vasculature of integument
http://purl.obolibrary.org/obo/UBERON_0022242		inferior thalamic peduncle
http://purl.obolibrary.org/obo/UBERON_0022244		anterior orbital gyrus
http://purl.obolibrary.org/obo/UBERON_0022247		forebrain ipsilateral fiber tracts
http://purl.obolibrary.org/obo/UBERON_0022246		superior longitudinal fasciculus
http://purl.obolibrary.org/obo/HBA_265504460	http://atlas.brain-map.org/atlas?atlas=265297125#structure=265504460	amygdalohippocampal area, left, marginal layer  ( human )
http://purl.obolibrary.org/obo/MBA_562	http://atlas.brain-map.org/atlas?atlas=602630314#structure=562	Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_562	http://atlas.brain-map.org/atlas?atlas=1#structure=562	Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_562	http://atlas.brain-map.org/atlas?atlas=2#structure=562	Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_563	http://atlas.brain-map.org/atlas?atlas=602630314#structure=563	dorsal tegmental tract  ( mouse )
http://purl.obolibrary.org/obo/MBA_563	http://atlas.brain-map.org/atlas?atlas=1#structure=563	dorsal tegmental tract  ( mouse )
http://purl.obolibrary.org/obo/MBA_563	http://atlas.brain-map.org/atlas?atlas=2#structure=563	dorsal tegmental tract  ( mouse )
http://purl.obolibrary.org/obo/MBA_560	http://atlas.brain-map.org/atlas?atlas=602630314#structure=560	Cochlear nucleus, subpedunclular granular region  ( mouse )
http://purl.obolibrary.org/obo/MBA_560	http://atlas.brain-map.org/atlas?atlas=1#structure=560	Cochlear nucleus, subpedunclular granular region  ( mouse )
http://purl.obolibrary.org/obo/MBA_560	http://atlas.brain-map.org/atlas?atlas=2#structure=560	Cochlear nucleus, subpedunclular granular region  ( mouse )
http://purl.obolibrary.org/obo/MBA_561	http://atlas.brain-map.org/atlas?atlas=602630314#structure=561	Visual areas, layer 2/3  ( mouse )
http://purl.obolibrary.org/obo/MBA_561	http://atlas.brain-map.org/atlas?atlas=1#structure=561	Visual areas, layer 2/3  ( mouse )
http://purl.obolibrary.org/obo/MBA_561	http://atlas.brain-map.org/atlas?atlas=2#structure=561	Visual areas, layer 2/3  ( mouse )
http://purl.obolibrary.org/obo/MBA_566	http://atlas.brain-map.org/atlas?atlas=602630314#structure=566	Postpiriform transition area  ( mouse )
http://purl.obolibrary.org/obo/MBA_566	http://atlas.brain-map.org/atlas?atlas=1#structure=566	Postpiriform transition area  ( mouse )
http://purl.obolibrary.org/obo/MBA_566	http://atlas.brain-map.org/atlas?atlas=2#structure=566	Postpiriform transition area  ( mouse )
http://purl.obolibrary.org/obo/MBA_567	http://atlas.brain-map.org/atlas?atlas=602630314#structure=567	Cerebrum  ( mouse )
http://purl.obolibrary.org/obo/MBA_567	http://atlas.brain-map.org/atlas?atlas=1#structure=567	Cerebrum  ( mouse )
http://purl.obolibrary.org/obo/MBA_567	http://atlas.brain-map.org/atlas?atlas=2#structure=567	Cerebrum  ( mouse )
http://purl.obolibrary.org/obo/MBA_564	http://atlas.brain-map.org/atlas?atlas=602630314#structure=564	Medial septal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_564	http://atlas.brain-map.org/atlas?atlas=1#structure=564	Medial septal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_564	http://atlas.brain-map.org/atlas?atlas=2#structure=564	Medial septal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_565	http://atlas.brain-map.org/atlas?atlas=602630314#structure=565	posteromedial visual area, layer 5  ( mouse )
http://purl.obolibrary.org/obo/MBA_565	http://atlas.brain-map.org/atlas?atlas=1#structure=565	posteromedial visual area, layer 5  ( mouse )
http://purl.obolibrary.org/obo/MBA_565	http://atlas.brain-map.org/atlas?atlas=2#structure=565	posteromedial visual area, layer 5  ( mouse )
http://purl.obolibrary.org/obo/MBA_568	http://atlas.brain-map.org/atlas?atlas=602630314#structure=568	Accessory abducens nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_568	http://atlas.brain-map.org/atlas?atlas=1#structure=568	Accessory abducens nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_568	http://atlas.brain-map.org/atlas?atlas=2#structure=568	Accessory abducens nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_569	http://atlas.brain-map.org/atlas?atlas=602630314#structure=569	Bed nuclei of the stria terminalis, posterior division, dorsal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_569	http://atlas.brain-map.org/atlas?atlas=1#structure=569	Bed nuclei of the stria terminalis, posterior division, dorsal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_569	http://atlas.brain-map.org/atlas?atlas=2#structure=569	Bed nuclei of the stria terminalis, posterior division, dorsal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_570	http://atlas.brain-map.org/atlas?atlas=602630314#structure=570	dorsolateral fascicle  ( mouse )
http://purl.obolibrary.org/obo/MBA_570	http://atlas.brain-map.org/atlas?atlas=1#structure=570	dorsolateral fascicle  ( mouse )
http://purl.obolibrary.org/obo/MBA_570	http://atlas.brain-map.org/atlas?atlas=2#structure=570	dorsolateral fascicle  ( mouse )
http://purl.obolibrary.org/obo/MBA_573	http://atlas.brain-map.org/atlas?atlas=602630314#structure=573	Lateral visual area, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_573	http://atlas.brain-map.org/atlas?atlas=1#structure=573	Lateral visual area, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_573	http://atlas.brain-map.org/atlas?atlas=2#structure=573	Lateral visual area, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_574	http://atlas.brain-map.org/atlas?atlas=602630314#structure=574	Tegmental reticular nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_574	http://atlas.brain-map.org/atlas?atlas=1#structure=574	Tegmental reticular nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_574	http://atlas.brain-map.org/atlas?atlas=2#structure=574	Tegmental reticular nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_571	http://atlas.brain-map.org/atlas?atlas=602630314#structure=571	Midline group of the dorsal thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_571	http://atlas.brain-map.org/atlas?atlas=1#structure=571	Midline group of the dorsal thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_571	http://atlas.brain-map.org/atlas?atlas=2#structure=571	Midline group of the dorsal thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_572	http://atlas.brain-map.org/atlas?atlas=602630314#structure=572	Anterior cingulate area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_572	http://atlas.brain-map.org/atlas?atlas=1#structure=572	Anterior cingulate area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_572	http://atlas.brain-map.org/atlas?atlas=2#structure=572	Anterior cingulate area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/PBA_128011900		layer II of LEC
http://purl.obolibrary.org/obo/MBA_577	http://atlas.brain-map.org/atlas?atlas=602630314#structure=577	Primary somatosensory area, upper limb, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_577	http://atlas.brain-map.org/atlas?atlas=1#structure=577	Primary somatosensory area, upper limb, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_577	http://atlas.brain-map.org/atlas?atlas=2#structure=577	Primary somatosensory area, upper limb, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_578	http://atlas.brain-map.org/atlas?atlas=602630314#structure=578	Bed nuclei of the stria terminalis, posterior division, principal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_578	http://atlas.brain-map.org/atlas?atlas=1#structure=578	Bed nuclei of the stria terminalis, posterior division, principal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_578	http://atlas.brain-map.org/atlas?atlas=2#structure=578	Bed nuclei of the stria terminalis, posterior division, principal nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_575	http://atlas.brain-map.org/atlas?atlas=602630314#structure=575	Central lateral nucleus of the thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_575	http://atlas.brain-map.org/atlas?atlas=1#structure=575	Central lateral nucleus of the thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_575	http://atlas.brain-map.org/atlas?atlas=2#structure=575	Central lateral nucleus of the thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_576	http://atlas.brain-map.org/atlas?atlas=602630314#structure=576	Accessory facial motor nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_576	http://atlas.brain-map.org/atlas?atlas=1#structure=576	Accessory facial motor nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_576	http://atlas.brain-map.org/atlas?atlas=2#structure=576	Accessory facial motor nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_579	http://atlas.brain-map.org/atlas?atlas=602630314#structure=579	external capsule  ( mouse )
http://purl.obolibrary.org/obo/MBA_579	http://atlas.brain-map.org/atlas?atlas=1#structure=579	external capsule  ( mouse )
http://purl.obolibrary.org/obo/MBA_579	http://atlas.brain-map.org/atlas?atlas=2#structure=579	external capsule  ( mouse )
http://purl.obolibrary.org/obo/GO_0099512		supramolecular fiber
http://purl.obolibrary.org/obo/PBA_128011936		medial (posterior) entorhinal cortex (MEC)
http://purl.obolibrary.org/obo/MBA_540	http://atlas.brain-map.org/atlas?atlas=602630314#structure=540	Perirhinal area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_540	http://atlas.brain-map.org/atlas?atlas=1#structure=540	Perirhinal area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_540	http://atlas.brain-map.org/atlas?atlas=2#structure=540	Perirhinal area, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_541	http://atlas.brain-map.org/atlas?atlas=602630314#structure=541	Temporal association areas  ( mouse )
http://purl.obolibrary.org/obo/MBA_541	http://atlas.brain-map.org/atlas?atlas=1#structure=541	Temporal association areas  ( mouse )
http://purl.obolibrary.org/obo/MBA_541	http://atlas.brain-map.org/atlas?atlas=2#structure=541	Temporal association areas  ( mouse )
http://purl.obolibrary.org/obo/PBA_ENTITY		PBA entity
http://purl.obolibrary.org/obo/MBA_544	http://atlas.brain-map.org/atlas?atlas=602630314#structure=544	Central amygdalar nucleus, capsular part  ( mouse )
http://purl.obolibrary.org/obo/MBA_544	http://atlas.brain-map.org/atlas?atlas=1#structure=544	Central amygdalar nucleus, capsular part  ( mouse )
http://purl.obolibrary.org/obo/MBA_544	http://atlas.brain-map.org/atlas?atlas=2#structure=544	Central amygdalar nucleus, capsular part  ( mouse )
http://purl.obolibrary.org/obo/MBA_545	http://atlas.brain-map.org/atlas?atlas=602630314#structure=545	Retrosplenial area, dorsal part, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_545	http://atlas.brain-map.org/atlas?atlas=1#structure=545	Retrosplenial area, dorsal part, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_545	http://atlas.brain-map.org/atlas?atlas=2#structure=545	Retrosplenial area, dorsal part, layer 4  ( mouse )
http://purl.obolibrary.org/obo/MBA_542	http://atlas.brain-map.org/atlas?atlas=602630314#structure=542	Retrosplenial area, ventral part, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_542	http://atlas.brain-map.org/atlas?atlas=1#structure=542	Retrosplenial area, ventral part, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_542	http://atlas.brain-map.org/atlas?atlas=2#structure=542	Retrosplenial area, ventral part, layer 1  ( mouse )
http://purl.obolibrary.org/obo/MBA_543	http://atlas.brain-map.org/atlas?atlas=602630314#structure=543	Entorhinal area, medial part, dorsal zone, layer 2  ( mouse )
http://purl.obolibrary.org/obo/MBA_543	http://atlas.brain-map.org/atlas?atlas=1#structure=543	Entorhinal area, medial part, dorsal zone, layer 2  ( mouse )
http://purl.obolibrary.org/obo/MBA_543	http://atlas.brain-map.org/atlas?atlas=2#structure=543	Entorhinal area, medial part, dorsal zone, layer 2  ( mouse )
http://purl.obolibrary.org/obo/MBA_548	http://atlas.brain-map.org/atlas?atlas=602630314#structure=548	Midbrain reticular nucleus, magnocellular part, general  ( mouse )
http://purl.obolibrary.org/obo/MBA_548	http://atlas.brain-map.org/atlas?atlas=1#structure=548	Midbrain reticular nucleus, magnocellular part, general  ( mouse )
http://purl.obolibrary.org/obo/MBA_548	http://atlas.brain-map.org/atlas?atlas=2#structure=548	Midbrain reticular nucleus, magnocellular part, general  ( mouse )
http://purl.obolibrary.org/obo/MBA_549	http://atlas.brain-map.org/atlas?atlas=602630314#structure=549	Thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_549	http://atlas.brain-map.org/atlas?atlas=1#structure=549	Thalamus  ( mouse )
http://purl.obolibrary.org/obo/MBA_549	http://atlas.brain-map.org/atlas?atlas=2#structure=549	Thalamus  ( mouse )
http://purl.obolibrary.org/obo/GO_0099513		polymeric cytoskeletal fiber
http://purl.obolibrary.org/obo/MBA_546	http://atlas.brain-map.org/atlas?atlas=602630314#structure=546	Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus  ( mouse )
http://purl.obolibrary.org/obo/MBA_546	http://atlas.brain-map.org/atlas?atlas=1#structure=546	Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus  ( mouse )
